survey;station;species;sequence;length;weight;sex;maturity;gonadweight;stomachfullness;stomachweight;otolith;bdep;lon;lat
2013002;14;LETLE13;1;31;480;F;0;0;X;0;0;15;37,66866667;18,94633333
2013002;14;LETLE13;2;36;480;F;0;0;X;0;0;15;37,66866667;18,94633333
2013002;14;SHACAB1;1;84;1430;M;2;12;0;60;0;15;37,66866667;18,94633333
2013002;17;LETLE13;1;33;670;F;4;7;1;7;0;0;37,71766667;18,9175
2013002;17;LUTLU06;0;43;1440;F;2;5;1;17;0;0;37,71766667;18,9175
2013002;17;SEREP17;1;35;600;M;1;2;4;7;0;0;37,71766667;18,9175
2013002;17;SEREP17;3;28;270;F;1;2;0;6;0;0;37,71766667;18,9175
2013002;17;SEREP17;4;27;320;F;2;6;0;6;0;0;37,71766667;18,9175
2013002;17;SEREP17;5;23,5;180;M;1;0,5;0;1;0;0;37,71766667;18,9175
2013002;17;SEREP17;2;33;490;M;1;2;0;8;0;0;37,71766667;18,9175
2013002;17;SHACAB1;1;79;2400;F;1;14;0;50;0;0;37,71766667;18,9175
2013002;18;SEREP12;1;65;4115;F;5;108;0;137;0;12;38,149;18,80716667
2013002;26;LUTLU06;1;69;4800;M;5;81;4;65;0;11;38,16166667;18,76983333
2013002;26;LUTLU06;2;73;6910;F;5;446;4;165;0;11;38,16166667;18,76983333
2013002;27;LETLE05;1;42;860;F;5;21;4;8;0;24;38,16716667;18,76683333
2013002;27;LUTLU06;1;42;680;F;1;1;4;14;0;24;38,16716667;18,76683333
2013002;33;LUTLU05;1;43;1040;F;2;4;4;12;0;48;38,18433333;18,819
2013002;36;LETGY05;1;57;2780;F;2;4;0;15;0;54;38,20833333;18,82016667
2013002;37;LUTLU06;2;51,5;2020;M;1;4;4;106;0;60;38,219;18,82
2013002;37;LUTLU06;1;55,5;3630;F;5;66;0;75;0;60;38,219;18,82
2013002;38;HOLSA03;1;41,5;1040;M;1;1;4;29;0;13;38,162;18,84233333
