"";"All";"MaxLength";"Trophic.Level";"Trophic.group";"Water.column";"Habitat";"Gregariousness";"diel"
"A1";0,0896144515847512;0,109434306767826;0,102994749141531;0,0754504345503923;0,0717614151279105;0,106584333666498;0,0824414987330097;0,0935925431359862
"A2";0,0873207831907483;0,109169398424236;0,0993739047967963;0,0657593584970157;0,0652922018212133;0,107194616350404;0,0760173968543509;0,105214729544413
"A3";0,0632547277195594;0,0751734547207497;0,0681336277172418;0,0459074604166537;0,050335290994868;0,0860967127294004;0,0509718135531258;0,0783877100571966
"A4";0,0377591094731858;0,044827986967995;0,042637776456962;0,0472860764998208;0,0343042257603386;0,0302539332470987;0,0291544671680005;0,0468676479608455
"A5";0,0687197716888478;0,0915928613101417;0,0793826298907035;0,055740705582904;0,0514644651292926;0,0791163767552683;0,0615677836675011;0,0762318660626119
"A6";0,0633689666030379;0,0746972187183891;0,0776180136874138;0,0536566371372262;0,0500349754442671;0,0817991584908816;0,0555946732578053;0,065070509148584
"A7";0,0677118049105118;0,0731833039133654;0,0765843834088533;0,0632169304691917;0,0499483925542174;0,0777279343915355;0,0677290650381364;0,0780993205763758
"R2";0,533119548741259;0,583866711790356;0,545838103722525;0,516744344673222;0,494834807456217;0,563417293359608;0,503391318440483;0,561910825902146
